timestamp,machine_id,machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,failure_within_24h,failure_type,estimated_repair_cost
2024-01-01 00:00:00,1,CNC,0.81,49.51,5.1,23.6,860.9,idle,273.8,13.9,61.0,0,none,0
2024-01-01 00:03:00,1,CNC,0.75,40.58,5.3,23.6,899.6,idle,273.85,10.2,60.95,0,none,0
2024-01-01 00:21:00,1,CNC,0.71,49.7,,21.3,862.7,idle,274.15,13.6,60.65,0,none,0
2024-01-01 00:45:00,1,CNC,0.76,43.04,4.79,22.6,870.4,idle,274.55,13.4,60.25,0,none,0
2024-01-01 00:54:00,1,CNC,0.88,41.39,4.44,22.2,881.9,idle,274.7,10.8,60.1,0,none,0
2024-01-01 01:23:00,1,CNC,0.94,42.0,4.77,23.6,853.2,idle,275.18,16.1,59.62,0,none,0
2024-01-01 01:47:00,1,CNC,0.88,41.71,4.1,25.7,917.6,idle,275.58,10.8,59.22,0,none,0
2024-01-01 01:55:00,1,CNC,2.93,54.57,10.13,78.0,2932.1,normal,275.72,11.4,59.08,0,none,0
2024-01-01 01:59:00,1,CNC,0.74,44.95,4.05,25.5,868.1,idle,275.78,11.6,59.02,0,none,0
2024-01-01 02:12:00,1,CNC,0.9,43.12,4.78,23.3,862.9,idle,276.0,16.1,58.8,0,none,0
2024-01-01 02:37:00,1,CNC,0.99,47.75,5.41,25.4,891.9,idle,276.42,9.2,58.38,0,none,0
2024-01-01 02:51:00,1,CNC,,40.88,4.29,20.3,872.8,idle,276.65,10.9,58.15,0,none,0
2024-01-01 03:13:00,1,CNC,0.82,42.71,5.24,22.1,869.7,idle,277.02,16.6,57.78,0,none,0
2024-01-01 03:33:00,1,CNC,0.86,41.41,5.2,20.4,919.1,idle,277.35,8.7,57.45,0,none,0
2024-01-01 03:56:00,1,CNC,0.93,41.99,4.01,24.9,899.5,idle,277.73,10.9,57.07,0,none,0
2024-01-01 04:00:00,1,CNC,2.82,61.57,9.98,65.6,2834.8,normal,277.8,16.7,57.0,0,none,0
2024-01-01 04:14:00,1,CNC,0.96,46.23,4.5,20.4,871.8,idle,278.03,14.4,56.77,0,none,0
2024-01-01 04:27:00,1,CNC,0.8,47.3,4.96,25.3,883.1,idle,278.25,11.6,56.55,0,none,0
2024-01-01 04:50:00,1,CNC,0.74,47.13,5.14,23.4,904.0,idle,278.63,17.4,56.17,0,none,0
2024-01-01 05:12:00,1,CNC,0.85,45.23,4.64,20.1,857.5,idle,279.0,14.3,55.8,0,none,0
2024-01-01 05:31:00,1,CNC,0.71,46.36,4.47,23.1,913.5,idle,279.32,9.6,55.48,0,none,0
2024-01-01 05:45:00,1,CNC,0.77,44.1,5.13,21.4,855.4,idle,279.55,17.3,55.25,0,none,0
2024-01-01 06:09:00,1,CNC,2.21,52.42,15.54,82.7,2990.0,normal,279.95,14.8,54.85,0,none,0
2024-01-01 06:37:00,1,CNC,0.96,48.04,4.28,25.4,887.8,idle,280.42,8.6,54.38,0,none,0
2024-01-01 07:05:00,1,CNC,2.93,63.44,11.57,56.2,2868.4,normal,280.88,11.2,53.92,0,none,0
2024-01-01 07:15:00,1,CNC,2.4,62.27,15.09,,2953.2,normal,281.05,17.1,53.75,0,none,0
2024-01-01 07:35:00,1,CNC,0.83,42.22,4.18,22.0,916.0,idle,281.38,11.1,53.42,0,none,0
2024-01-01 07:57:00,1,CNC,2.25,57.78,14.07,65.8,3091.5,normal,281.75,16.8,53.05,0,none,0
2024-01-01 08:19:00,1,CNC,3.15,53.78,,63.4,2885.4,normal,282.12,10.6,52.68,0,none,0
2024-01-01 08:28:00,1,CNC,0.71,46.1,4.75,20.3,869.5,idle,282.27,13.4,52.53,0,none,0
2024-01-01 08:53:00,1,CNC,3.07,53.59,10.44,70.6,3095.7,normal,282.68,17.0,52.12,0,none,0
2024-01-01 09:07:00,1,CNC,2.14,60.08,14.45,61.0,3018.5,normal,282.92,18.0,51.88,0,none,0
2024-01-01 09:13:00,1,CNC,2.31,59.48,13.62,72.4,2827.1,normal,283.02,8.9,51.78,0,none,0
2024-01-01 09:16:00,1,CNC,2.55,43.21,4.28,20.2,891.4,idle,283.07,9.5,51.73,0,none,0
2024-01-01 09:23:00,1,CNC,0.9,40.17,4.77,21.4,895.2,idle,283.18,12.2,51.62,0,none,0
2024-01-01 09:27:00,1,CNC,2.04,60.36,12.01,87.6,2841.3,normal,283.25,14.0,51.55,0,none,0
2024-01-01 09:43:00,1,CNC,2.28,51.7,15.51,85.3,2877.4,normal,283.52,17.7,51.28,0,none,0
2024-01-01 10:12:00,1,CNC,3.73,71.89,23.55,102.9,3872.6,peak,284.0,14.8,50.8,0,none,0
2024-01-01 10:17:00,1,CNC,0.73,48.97,5.35,23.8,873.7,idle,284.08,13.4,50.72,0,none,0
2024-01-01 10:27:00,1,CNC,0.8,47.26,5.35,25.3,904.6,idle,284.25,11.4,50.55,0,none,0
2024-01-01 10:38:00,1,CNC,2.7,51.26,10.55,86.2,2981.9,normal,284.43,12.5,50.37,0,none,0
2024-01-01 11:03:00,1,CNC,0.7,41.01,5.0,20.0,861.3,idle,284.85,10.6,49.95,0,none,0
2024-01-01 11:21:00,1,CNC,0.86,46.92,4.98,21.4,899.9,idle,285.15,13.1,49.65,0,none,0
2024-01-01 11:26:00,1,CNC,0.77,43.25,5.12,23.9,909.5,idle,285.23,11.0,49.57,0,none,0
2024-01-01 11:48:00,1,CNC,2.72,58.52,10.11,66.0,2879.6,normal,285.6,10.0,49.2,0,none,0
2024-01-01 12:01:00,1,CNC,0.77,49.73,4.59,25.4,894.2,idle,285.82,13.4,48.98,0,none,0
2024-01-01 12:27:00,1,CNC,3.84,66.54,23.77,102.4,3858.6,peak,286.25,17.2,48.55,0,none,0
2024-01-01 12:48:00,1,CNC,2.81,54.21,9.66,76.5,2853.1,normal,286.6,8.2,48.2,0,none,0
2024-01-01 13:01:00,1,CNC,0.98,49.54,5.37,22.2,851.1,idle,286.82,16.3,47.98,0,none,0
2024-01-01 13:12:00,1,CNC,3.1,56.42,15.78,88.6,3055.9,normal,287.0,10.4,47.8,0,none,0
2024-01-01 13:32:00,1,CNC,3.44,64.55,26.51,99.8,3850.8,peak,287.33,8.9,47.47,0,none,0
2024-01-01 13:49:00,1,CNC,,49.36,5.04,23.4,856.8,idle,287.62,17.8,47.18,0,none,0
2024-01-01 14:08:00,1,CNC,0.88,49.9,4.21,23.1,911.4,idle,287.93,9.3,46.87,0,none,0
2024-01-01 14:25:00,1,CNC,3.79,69.85,25.02,100.4,3888.1,peak,288.22,9.7,46.58,0,none,0
2024-01-01 14:43:00,1,CNC,0.94,48.1,5.3,25.5,885.8,idle,288.52,12.2,46.28,0,none,0
2024-01-01 14:51:00,1,CNC,3.6,71.57,24.5,105.5,4038.7,peak,288.65,15.6,46.15,0,none,0
2024-01-01 15:15:00,1,CNC,3.05,55.07,11.94,55.6,2973.5,normal,289.05,11.1,45.75,0,none,0
2024-01-01 15:38:00,1,CNC,1.85,56.98,13.03,62.9,2977.2,normal,289.43,12.4,45.37,0,none,0
2024-01-01 15:56:00,1,CNC,1.84,,14.85,65.7,2838.1,normal,289.73,10.5,45.07,0,none,0
2024-01-01 16:00:00,1,CNC,2.53,61.55,10.9,75.7,2825.6,normal,289.8,13.9,45.0,0,none,0
2024-01-01 16:09:00,1,CNC,1.87,57.97,13.01,76.2,3017.8,normal,289.95,8.1,44.85,0,none,0
2024-01-01 16:33:00,1,CNC,3.17,57.74,11.6,,2881.2,normal,290.35,10.3,44.45,0,none,0
2024-01-01 17:03:00,1,CNC,2.41,51.18,9.66,88.6,3050.8,normal,290.85,11.3,43.95,0,none,0
2024-01-01 17:21:00,1,CNC,2.77,70.67,10.63,57.9,2875.1,normal,291.15,14.7,43.65,0,none,0
2024-01-01 17:29:00,1,CNC,2.57,60.72,13.79,62.6,3086.5,normal,291.28,15.2,43.52,0,none,0
2024-01-01 17:59:00,1,CNC,2.83,58.32,13.48,67.9,2874.3,normal,291.78,12.7,43.02,0,none,0
2024-01-01 18:26:00,1,CNC,2.3,61.37,9.59,56.4,2813.8,normal,292.23,12.1,42.57,0,none,0
2024-01-01 18:31:00,1,CNC,1.86,62.83,14.07,70.0,2829.3,normal,292.32,12.3,42.48,0,none,0
2024-01-01 18:46:00,1,CNC,2.49,57.1,10.63,68.5,2919.6,normal,292.57,16.6,42.23,0,none,0
2024-01-01 18:49:00,1,CNC,0.88,46.35,4.07,22.2,893.8,idle,292.62,17.8,42.18,0,none,0
2024-01-01 18:54:00,1,CNC,2.5,62.85,13.78,58.2,2821.2,normal,292.7,15.3,42.1,0,none,0
2024-01-01 19:21:00,1,CNC,0.89,40.27,4.88,25.6,890.3,idle,293.15,10.5,41.65,0,none,0
2024-01-01 19:29:00,1,CNC,2.34,59.65,12.48,72.7,3082.4,normal,293.28,9.4,41.52,0,none,0
2024-01-01 19:36:00,1,CNC,2.34,64.42,15.38,59.4,2820.8,normal,293.4,10.5,41.4,0,none,0
2024-01-01 19:40:00,1,CNC,1.94,50.27,10.11,,2821.4,normal,293.47,16.6,41.33,0,none,0
2024-01-01 19:59:00,1,CNC,2.25,62.67,9.65,83.0,2884.6,normal,293.78,14.5,41.02,0,none,0
2024-01-01 20:18:00,1,CNC,0.74,46.97,4.94,25.3,901.5,idle,294.1,17.7,40.7,0,none,0
