feature,importance_mean,importance_std
num__rpm,0.39415504582208394,0.005311994994293001
num__temperature_motor,0.32437861887537733,0.008665247737784612
num__vibration_rms,0.16216633451856471,0.00702717992117829
num__current_phase_avg,0.15827405031175035,0.006251539883843187
num__hours_since_maintenance,0.08165398850545286,0.008375802276874952
num__pressure_level,0.043912631058378095,0.00507581816191655
cat__operating_mode_peak,0.018147184846351527,0.0019073487611351492
cat__operating_mode_idle,0.017337262086983395,0.0031408889195748
cat__machine_type_CNC,0.009316510368877396,0.0016469550461577897
cat__machine_type_Pump,0.005352823762917502,0.0019111458516030443
cat__machine_type_Compressor,0.005064596710197511,0.0029081905828618024
cat__machine_type_Robotic Arm,0.004161365565569064,0.001848801684596813
num__ambient_temp,-0.0016908132027892652,0.002722887549616461
cat__operating_mode_normal,-0.004056648060407142,0.0017110146171844332
